Header_Length,Protocol Type,Time_To_Live,Rate,syn_flag_number,rst_flag_number,ack_flag_number,ack_count,syn_count,rst_count,Telnet,TCP,UDP,DHCP,ARP,IPv,LLC,Tot sum,Min,Max,AVG,Tot size,IAT,Label
8.0,17,64.0,2.488916845,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602053094,1
6.4,17,51.2,2.127861078,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.470082808,1
8.0,17,64.0,2.611783746,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.382880092,1
7.2,17,57.6,1.962916576,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.509464192,1
8.0,17,64.0,3.309995636,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.302174115,1
8.0,17,64.0,1.99194579,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.50202601,1
8.0,17,64.0,3.317120376,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401796603,1
8.0,17,64.0,2.488407702,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402010012,1
8.0,17,64.0,1.66135835,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.601996803,1
6.4,17,51.2,3.521464178,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.283978701,1
8.0,17,64.0,2.073598615,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.482317901,1
8.0,17,64.0,3.380207956,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.46646688,1
8.0,17,64.0,2.489658043,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401862288,1
8.0,17,64.0,1.992771808,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602073503,1
8.0,17,64.0,2.489561841,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401890087,1
8.0,17,64.0,2.489474512,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.40169909,1
8.0,17,64.0,2.489587258,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.433565402,1
8.0,17,64.0,1.668325258,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.599422407,1
7.2,17,57.6,1.992316032,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.502020288,1
8.0,17,64.0,1.990639948,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2736,342,342,342.0,342.0,0.502362013,1
7.2,17,57.6,1.90904649,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.523915696,1
8.0,17,64.0,2.998474563,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.340651608,1
7.2,17,57.6,2.501228161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.40003829,1
8.0,17,64.0,1.992622889,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501965213,1
8.0,17,64.0,2.488647334,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401925516,1
6.4,17,51.2,2.530048177,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.595762396,1
4.0,17,44.8,5.450224243,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.5,0.3,0.7,0.7,2032,42,342,203.2,203.2,0.264335799,0
