"Poising Attack percentage","Machine learning Algorithm","Hyperparameter Best-Values",Accuracy,Recall,Perception,F1-Score,,,,,,,,,,,,,,,,,,,
,"RFC

","  n_estimators=100,
  max_depth=5,
  min_samples_split=2,
  min_samples_leaf=1,

","Training Accuracy RFC: 0.981
Testing Accuracy  RFC : 0.982










",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.007,,,"Training Accuracy RFC: 0.975
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.01,,,"Training Accuracy RFC: 0.972
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.015,,,"Training Accuracy RFC: 0.968
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.03,,,"Training Accuracy RFC: 0.961
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.035,,,"Training Accuracy RFC:  0.948
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.04,,,"Training Accuracy RFC:  0.948
Testing Accuracy  RFC : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,XGBOOST,"'n_estimators': [50, 100, 200],
  'learning_rate': [0.1, 0.01, 0.2],
  'max_depth': [3, 5, 7]

","Training Accuracy 0.981
Testing Accuracy : 0.980
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.007,,,"Training Accuracy  0.974
Testing Accuracy : 0.980
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.01,,,"Training Accuracy  0.972
Testing Accuracy : 0.982
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.015,,,"Training Accuracy  0.966
Testing Accuracy : 0.980
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.03,,,"Training Accuracy  0.952
Testing Accuracy : 0.981
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.035,,,"Training Accuracy  0.946
Testing Accuracy : 0.980
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
0.04,,,"Training Accuracy 0.942
Testing Accuracy : 0.981
",0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
